product code,product name,component_count
PR2409210051,Invi-70 (Fx),1
PR2409214021,Invi-70 (Adj),1
PR2409214314,P-19,1
PR2409215898,Invi-70 (WW),1
PR2409216725,Play 100 Module - M,1
PR2409217105,Play 100 Module-L,1
PR2409219067,Halo - 70,1
PR2409230475,P-16,1
PR2409231931,P-1,1
PR2409233621,P-11,1
PR2409233967,Sleek - 70,1
PR2409234998,P-14,1
PR2409235142,MP-1,1
PR2409235216,P-10,1
PR2409235594,Icon-M,1
PR2409236243,Icon-L,1
PR2409236293,MP-10,1
PR2409237093,P-12,1
PR2409238700,P-13,1
PR2409250057,Linea-7 SF(only Profile),1
PR2409250575,LINEA-25 RS(Only Profile),1
PR2409251251,Linea - 13 Deep Recessed,1
PR2409252615,Linea Z-14(Only Profile),1
PR2409252626,Linea Z-22(Only Profile),1
PR2409253466,Linea-7 RS(only Profile),1
PR2409253521,Linea-10 RS(Only Profile),1
PR2409254719,Flare - M,1
PR2409254889,LINEA-18 SF(Only Profile),3
PR2409255791,Flare-L,1
PR2409258612,LINEA-25 SF(Only Profile),1
PR2409259407,Linea Z-13(Only Profile),1
PR2409259951,LINEA-18 RS(Only Profile),3
PR2409259955,Linea-10 SF(Only Profile),1
PR2409264914,Halo star 10,1
PR2410172696,Sleek - 50,1
PR2410172803,Invi-50 (Adj),1
PR2410174062,Halo - 50,1
PR2410175759,Invi-50 (WW),1
PR2410228010,P-19 Prime,1
PR2411043542,Rio - M,1
PR2412171133,LINEA - 18 Deep Recessed,3
PR2412173989,LINEA-18 CP,3
PR2412174683,LINEA-50,1
PR2412177055,LINEA-35,1
PR2412239873,10mm Neo Flex,2
PR2412243977,12mm Neo Flex,3
PR2412247850,16mm Neo Flex,3
PR2503054573,Invi-Pin,1
